name,description,location,next_direction
Trust Building/Durham Visitor Info Center,"The historic Trust Building, a Beaux Arts-style structure, was the tallest office building in the state at the time of its construction in 1905. It featured Durham's first elevator and housed a mix of businesses including Fidelity Bank run by Benjamin Duke. It is still a multi-tenant office building including the Durham Convention & Visitors Bureau where visitors can get directions, maps, and travel tips.",BEGIN AT 212 W MAIN ST #101 ,na
Main Street," A series of architecturally and historically significant properties, many with lofts/residences along the second story.",Main St Downtown Loop,na
Old Hill Building, 1925 Georgian revival Old Hill Building commissioned by John Sprunt Hill.,307 W Main St,na
Temple Building, 1909 Spanish colonial-style Temple Building built with leftover materials from the 1909 Watts Hospital.,302 W Main St,na
Former Kronheimer's Department Store,"Benjamin Franklin Kronheimer constructed the building between 1898 and 1902 as Kronheimer's department store, which he operated throughout the early part of the 20th century. It continued to house retail establishments through the mid 20th century including Raylass and Revco.",315 W Main St,na
Snow Building," One of Durham’s finest art deco structures, built in 1933. Its elevator was the last in the state run by a full-time operator.",Main St,na
Five Points/Muirhead Plaza, Includes site of 1906 invention of BC Headache Powder.,"Intersection of W Main, E Chapel Hill, and Morris St",na
Civil Rights mural,"The Durham Civil Rights mural brings to life some lesser-known stories of the local civil rights movement in vivid colors. Artist Brenda Miller Holmes and Dr. Benjamin Speller, former Dean of Library Sciences at North Carolina Central University, developed the concept for the mural, with input from 30 community members. The mural was completed in 2015. More detailed information can be found at http://www.muraldurham.com/.",At the parking lot next to 120 Morris St.,na
Durham Arts Council," Former 1906 Central High School and later City Hall. Now 52,000-sq.- ft. arts center with performance space, three galleries, and meeting rooms. ",120 Morris St,na
Museum of Durham History Hub,"The Durham History Hub serves as a physical outpost of the Museum of Durham History website. The Museum uses stories about people, places and things to foster curiosity, encourage further inquiry, and promote an understanding of diverse perspectives about the Durham community and its history. The exhibits are rotated on a frequent basis, so there is always something new to see!",500 W Main St,na
Durham Centre Building & Plaza," Fifteen-story commercial building housing the Greater Durham Chamber of Commerce and Duke Clinical Research Institute, a powerhouse behind research trials as well as a major area employer. ",300 W Morgan St,na
